Year,Atari,Microsoft,Nintendo,Other,Sega,Sony
1970,0.21,0.0,0.0,0.52,0.0,0.49
1971,0.0,0.0,0.0,65.0,0.0,0.0
1977,2.5,0.0,0.0,0.0,0.0,0.0
1978,5.36,0.0,0.0,0.0,0.0,0.0
1979,0.31,0.0,0.0,0.48000000000000004,0.0,0.0
1980,2.58,0.0,0.0,2.04,0.0,0.0
1981,10.23,0.0,0.0,96.95,0.0,0.0
1982,42.89,0.0,0.0,69.16,0.0,0.0
1983,22.72,0.0,2.14,435.48,0.0,0.0
1984,4.16,0.0,3.66,18.63,0.0,0.0
1985,0.45,0.0,93.27,19.02,0.0,0.0
1986,0.37,0.0,21.0,195.07,0.0,0.0
1987,1.2,0.0,29.96,488.55,0.0,0.0
1988,1.58,0.0,25.11,159.99,0.0,0.0
1989,0.71,0.0,75.92,568.27,0.0,0.0
1990,0.15,0.0,50.25,22.48,3.0,0.0
1991,0.0,0.0,46.36,250.55,15.0,0.0
1992,0.0,0.0,70.3,346.37,7.04,0.0
1993,0.0,0.0,49.28,397.51,12.19,0.0
1994,0.0,0.0,49.99,387.71999999999997,9.18,0.61
1995,0.0,0.0,43.56,362.19,10.83,26.03
1996,0.0,0.0,43.94,436.5,13.64,83.19
1997,0.0,0.0,51.28,526.53,8.0,101.29
1998,0.0,0.0,92.08,1176.92,4.33,158.44
1999,0.0,0.0,84.38,441.03,7.1499999999999995,167.17
2000,0.0,0.0,77.60000000000001,513.5,7.67,154.04
2001,0.0,26.41,104.84,437.27,1.55,208.02
2002,0.0,48.64,112.29,447.22,0.29,204.99
2003,0.0,57.35,121.55,565.67,0.0,203.61
2004,0.0,65.84,135.6,558.08,0.0,202.22
2005,0.0,61.64,157.36,361.27,0.0,225.88
2006,0.0,50.56,259.98,482.27,0.0,174.4
2007,0.0,102.91,319.17,653.38,0.0,191.8
2008,0.0,136.72,334.91,360.58,0.04,222.13
2009,0.0,118.1,333.35,444.81,0.0,196.93
2010,0.0,172.87,224.59,346.04,0.0,187.7
2011,0.0,147.24,192.28,943.47,0.0,190.8
2012,0.0,96.69,94.42,384.35,0.0,140.82
2013,0.0,116.7,114.21000000000001,429.5,0.0,155.79
2014,0.0,96.66,80.10000000000001,305.03,0.0,186.09
2015,0.0,82.09,49.25,433.32,0.0,169.08
2016,0.0,64.72,63.57,330.98,0.0,158.69
2017,0.0,50.35,171.64000000000001,443.06,0.0,147.91
2018,0.0,40.83,111.94,292.6,0.0,139.2
2019,0.0,0.0,92.91,192.27,0.0,4.71
2020,0.0,2.33,74.61,115.26,0.15,34.339999999999996
2021,0.0,0.0,56.35,76.64,0.0,1.6600000000000001
2022,0.0,0.0,30.17,39.38,0.0,0.0
