Year,Activision  ,Electronic Arts  ,Konami Digital Entertainment  ,Namco Bandai Games  ,Nintendo  ,Other,Sega  ,Sony Computer Entertainment  ,THQ  ,Take-Two Interactive  ,Ubisoft  
1970,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0
1977,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
1978,0.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0,0.0,0.0,0.0
1979,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0
1980,1.87,0.0,0.0,0.0,0.0,0.7899999999999999,0.0,0.0,0.0,0.0,0.0
1981,2.37,0.0,0.0,0.0,0.0,10.89,0.0,0.0,0.0,0.0,0.0
1982,8.11,0.0,0.0,0.0,0.0,35.67,0.0,0.0,0.0,0.0,0.0
1983,4.17,0.0,0.0,0.0,2.14,18.48,0.4,0.0,0.0,0.0,0.0
1984,0.27,0.0,0.0,0.0,2.9699999999999998,5.2,0.0,0.0,0.0,0.0,0.0
1985,0.45,0.0,0.0,0.0,92.86,0.59,0.0,0.0,0.0,0.0,0.0
1986,0.03,0.0,0.0,0.0,9.76,11.81,0.0,0.0,0.0,0.0,0.0
1987,0.65,0.0,0.0,0.0,22.49,8.17,0.0,0.0,0.0,0.0,0.0
1988,0.98,0.0,0.0,0.0,17.96,9.1,0.0,0.0,0.0,0.0,0.0
1989,0.8099999999999999,0.0,0.0,0.0,62.800000000000004,14.82,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.4,0.0,0.0,34.95,15.57,2.6,0.0,0.0,0.0,0.0
1991,0.0,0.07,0.0,0.0,34.03,13.14,15.0,0.0,0.0,0.0,0.0
1992,0.0,1.0,0.0,0.0,40.63,31.169999999999998,6.04,0.0,0.0,0.0,0.0
1993,0.0,0.06,0.0,0.0,26.900000000000002,34.3,5.75,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,22.25,39.05,5.0200000000000005,0.17,0.0,0.0,0.0
1995,0.5,1.99,0.0,0.0,21.47,59.1,5.71,6.72,0.0,0.0,3.03
1996,0.37,4.52,0.0,0.0,32.23,90.01,7.71,22.93,0.17,0.0,0.16
1997,1.94,8.47,0.0,0.0,31.58,102.53,3.15,28.37,1.99,0.25,0.25
1998,7.5,12.3,0.0,0.0,60.46,154.22,1.9100000000000001,41.05,11.049999999999999,2.4699999999999998,0.3
1999,11.799999999999999,19.85,0.0,0.0,46.77,152.94,5.39,30.39,4.17,1.46,0.96
2000,14.85,14.280000000000001,0.0,0.0,53.67,132.93,5.63,23.06,14.39,2.29,1.22
2001,19.8,24.77,0.0,0.0,54.71,202.33,3.71,32.0,19.41,3.92,3.31
2002,24.3,47.36,0.0,0.0,33.57,207.52,19.28,19.13,23.44,0.0,12.28
2003,19.06,45.13,0.0,0.0,52.18,208.07,9.18,24.76,28.97,0.42,14.540000000000001
2004,32.0,35.410000000000004,0.0,0.0,67.78,242.62,20.04,22.8,33.58,0.0,15.81
2005,31.67,35.27,0.0,0.0,92.46000000000001,211.16,12.39,41.1,26.54,0.06,16.03
2006,19.970000000000002,29.3,0.0,0.0,187.59,201.81,14.6,19.73,24.43,0.07,15.790000000000001
2007,42.07,52.92,0.0,0.0,131.45000000000002,274.69,21.84,32.98,34.660000000000004,0.0,44.1
2008,63.36,59.57,0.0,1.76,107.12,344.39,35.64,36.08,29.51,0.15,52.39
2009,74.94,49.24,0.0,0.0,125.59,291.88,21.12,38.45,30.93,6.38,46.63
2010,60.07,46.83,0.0,0.0,65.0,379.1,27.310000000000002,40.629999999999995,22.330000000000002,0.0,43.39
2011,51.29,44.88,1.9100000000000001,0.0,87.58,337.48,14.59,27.59,28.6,0.0,47.99
2012,45.980000000000004,21.13,6.48,16.01,51.09,246.63,8.66,13.99,7.180000000000001,1.09,37.14
2013,39.62,28.97,5.55,10.25,74.24,273.6,7.22,9.78,0.0,0.0,27.77
2014,42.42,19.669999999999998,6.71,13.700000000000001,61.35,235.41,6.6000000000000005,26.0,0.0,0.0,41.24
2015,38.94,21.64,8.26,15.05,30.87,245.48,3.22,12.76,0.0,2.96,17.68
2016,17.8,36.1,2.83,26.21,49.67,222.19,4.43,0.56,0.0,0.0,24.45
2017,32.35,14.16,1.89,10.14,140.33,204.52,8.31,0.0,0.0,0.0,23.12
2018,19.56,17.740000000000002,0.4,8.48,86.78,174.26,3.63,0.0,0.0,0.0,14.52
2019,0.0,0.0,0.0,0.0,89.17,19.63,1.22,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,69.59,70.73,1.5,0.26,0.0,0.0,0.31999999999999995
2021,0.0,0.0,0.0,0.0,47.62,21.62,1.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,29.67,4.47,0.0,0.0,0.0,0.0,0.0
