Year,Platform_condensed,Global_Sales
1980,2600,11.379999999999999
1981,2600,35.77
1982,2600,28.86
1983,2600,5.83
1983,NES,10.96
1984,2600,0.27
1984,NES,50.089999999999996
1985,2600,0.45
1985,DS,0.02
1985,NES,53.440000000000005
1985,Other,0.03
1986,2600,0.6599999999999999
1986,NES,36.41
1987,2600,1.98
1987,NES,19.759999999999998
1988,2600,0.75
1988,GB,1.43
1988,NES,45.01
1988,Other,0.03
1989,2600,0.62
1989,GB,64.98
1989,NES,7.85
1990,GB,4.89
1990,NES,15.74
1990,Other,2.6
1990,SNES,26.16
1991,GB,5.57
1991,NES,6.11
1991,Other,4.34
1991,SNES,16.21
1992,GB,25.48
1992,NES,1.9800000000000002
1992,Other,15.72
1992,SNES,32.98
1993,NES,3.61
1993,Other,2.36
1993,SNES,40.01
1994,GB,12.17
1994,NES,0.11
1994,Other,25.79
1994,PS,6.0200000000000005
1994,SNES,35.08
1995,GB,3.5999999999999996
1995,Other,16.38
1995,PS,35.92
1995,SNES,32.21
1996,GB,36.02
1996,N64,34.11
1996,Other,18.41
1996,PS,94.68
1996,SNES,15.93
1997,GB,6.37
1997,N64,39.51
1997,Other,18.03
1997,PS,136.08
1997,SNES,0.99
1998,GB,26.900000000000002
1998,N64,49.28
1998,Other,10.49
1998,PS,169.58
1998,SNES,0.22000000000000003
1999,GB,38.01
1999,N64,57.96
1999,Other,10.47
1999,PS,144.57
1999,SNES,0.26
2000,GB,19.76
2000,N64,34.01
2000,Other,12.4
2000,PS,96.28
2000,PS2,39.11
2001,GB,9.24
2001,N64,3.26
2001,Other,117.02
2001,PS,35.52
2001,PS2,166.43
2002,N64,0.08
2002,Other,183.35
2002,PS,6.6899999999999995
2002,PS2,205.4
2003,Other,171.51
2003,PS,2.05
2003,PS2,184.29
2004,DS,17.46
2004,Other,190.07
2004,PS2,211.78
2005,DS,131.4
2005,Other,159.57
2005,PS2,160.65
2005,X360,8.32
2006,DS,121.15
2006,Other,85.61
2006,PS2,103.42
2006,PS3,21.07
2006,Wii,137.91
2006,X360,51.88
2007,DS,149.36
2007,Other,61.15
2007,PS2,76.0
2007,PS3,73.81
2007,Wii,154.97
2007,X360,95.84
2008,DS,147.89
2008,Other,47.57
2008,PS2,53.83
2008,PS3,119.69
2008,Wii,174.16
2008,X360,135.76
2009,DS,121.99
2009,Other,55.23
2009,PS2,26.45
2009,PS3,132.34
2009,Wii,210.44
2009,X360,120.85
2010,DS,87.98
2010,Other,59.57
2010,PS2,5.63
2010,PS3,144.42
2010,Wii,131.8
2010,X360,171.05
2011,DS,27.8
2011,Other,120.82
2011,PS2,0.47000000000000003
2011,PS3,159.37
2011,Wii,62.41
2011,X360,145.12
2012,DS,11.64
2012,Other,118.76
2012,PS3,109.49
2012,Wii,22.77
2012,X360,100.88
2013,DS,1.96
2013,Other,106.43
2013,PS3,117.39
2013,PS4,24.76
2013,Wii,9.36
2013,X360,89.61
2013,XOne,18.6
2014,DS,0.02
2014,Other,94.02
2014,PS3,50.96
2014,PS4,98.76
2014,Wii,4.4399999999999995
2014,X360,36.42
2014,XOne,52.43
2015,Other,58.660000000000004
2015,PS3,18.22
2015,PS4,115.3
2015,Wii,1.55
2015,X360,13.05
2015,XOne,57.66
